 NumResultRows,No. of columns in output view,TableAccessCount,Joins,Sorting,Aggregation,Clause, TotalIOCount, AMPCPUTime, ParserCPUTime, MaxAMPCPUTime, MaxAmpIO, SpoolUsage, AMPCPUTimeNorm, ParserCPUTimeNorm, MaxAMPCPUTimeNorm,MaxCPUAmpNumberNorm, SeqRespTime, ReqIOKB, ReqPhysIO, ReqPhysIOKB
2,3,1,0,1,1,0,"8,282",1.548,0,0.788,"4,162","1,305,088",36.268,0,18.462,1,4.84,"1,031,799","8,174","1,020,459"
5,2,1,0,1,0,1,"8,234",1.688,0,0.856,"4,130","1,683,456",39.549,0,20.056,0,5.44,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.544,0,0.78,"4,162","1,305,088",36.175,0,18.275,1,4.82,"1,031,799","8,173","1,020,427"
5,2,6,0,1,1,1,"11,150",3.076,0.196,1.544,"5,688","41,450,496",72.069,4.592,36.175,1,7.5,"1,358,963","9,463","1,188,474"
2,3,1,0,1,1,0,"8,282",1.548,0,0.784,"4,162","1,305,088",36.269,0,18.369,1,4.8,"1,031,799","8,174","1,020,459"
5,2,6,0,1,1,1,"11,161",3.06,0.176,1.532,"5,661","41,450,496",71.695,4.123,35.894,0,7.51,"1,360,862","9,460","1,188,527"
2,3,1,0,1,1,0,"8,282",1.54,0,0.772,"4,162","1,305,088",36.081,0,18.087,1,4.82,"1,031,799","8,174","1,020,459"
5,2,6,0,1,1,1,"11,207",3.032,0,1.52,"5,700","41,450,496",71.039,0,35.613,1,7.31,"1,366,478","9,450","1,187,238"
2,3,1,0,1,1,0,"8,282",1.552,0,0.784,"4,162","1,305,088",36.363,0,18.369,1,4.82,"1,031,799","8,176","1,020,523"
411,2,4,0,1,0,1,"29,767",9.964,0,5.02,"15,017","40,268,800",233.455,0,117.618,1,19.23,"3,634,526","25,000","3,106,975"
2,3,1,0,1,1,0,"8,277",1.536,0,0.772,"4,162","1,305,088",35.987,0,18.087,1,4.8,"1,031,799","8,178","1,020,648"
7,3,2,0,1,1,1,"3,873",2.952,0,1.484,"1,939","3,003,392",69.165,0,34.77,1,3.48,"509,006","2,613","380,922"
2,3,1,0,1,1,0,"8,282",1.552,0,0.78,"4,162","1,305,088",36.362,0,18.275,1,4.83,"1,031,799","8,181","1,020,744"
7,3,2,0,1,1,1,"3,834",2.952,0,1.48,"1,938","3,003,392",69.164,0,34.676,0,3.43,"504,711","2,636","384,456"
2,3,1,0,1,1,0,"8,282",1.532,0,0.772,"4,162","1,305,088",35.893,0,18.087,1,4.82,"1,031,799","8,180","1,020,712"
7,3,2,0,1,1,1,"3,841",2.98,0,1.492,"1,924","3,003,392",69.82,0,34.957,1,3.59,"502,611","2,652","386,336"
2,3,1,0,1,1,0,"8,277",1.56,0,0.784,"4,162","1,305,088",36.55,0,18.369,0,4.83,"1,031,799","8,181","1,020,744"
7,3,2,0,1,1,1,"3,903",2.924,0,1.468,"1,986","3,003,392",68.509,0,34.395,1,3.41,"510,067","2,613","382,230"
2,3,1,0,1,1,0,"8,282",1.576,0,0.796,"4,162","1,305,088",36.925,0,18.65,1,4.8,"1,031,799","8,174","1,020,459"
